"","NAME","GSS_CODE","HECTARES","NONLD_AREA","ONS_INNER","SUB_2009","SUB_2006","distanceall","n","distance"
"1","Kingston upon Thames","E09000021",3726.117,0,"F",NA,NA,60325.1061442457,20,4483.74469278772
"2","Croydon","E09000008",8649.441,0,"F",NA,NA,141535.786044606,44,4283.27758989531
"3","Bromley","E09000006",15013.487,0,"F",NA,NA,116243.051033498,39,4519.40894785901
"4","Hounslow","E09000018",5658.541,60.755,"F",NA,NA,84492.6305400801,28,4482.40605214
"5","Ealing","E09000009",5554.428,0,"F",NA,NA,128506.122055632,39,4204.97122934277
"6","Havering","E09000016",11445.735,210.763,"F",NA,NA,75591.9093630247,30,4980.26968789918
"7","Hillingdon","E09000017",11570.063,0,"F",NA,NA,84216.8907040817,32,4868.22216549745
"8","Harrow","E09000015",5046.33,0,"F",NA,NA,91853.2846396745,30,4438.22384534418
"9","Brent","E09000005",4323.27,0,"F",NA,NA,123808.151518349,34,3858.58377887209
"10","Barnet","E09000003",8674.837,0,"F",NA,NA,142065.440564692,41,4034.9892545197
"11","Lambeth","E09000022",2724.94,43.927,"T",NA,NA,152859.183912516,35,3132.59474535668
"12","Southwark","E09000028",2991.34,105.139,"T",NA,NA,144463.918173812,33,3122.30550988449
"13","Lewisham","E09000023",3531.706,16.795,"T",NA,NA,142816.65712406,36,3532.87063544279
"14","Greenwich","E09000011",5044.19,310.785,"F",NA,NA,119213.500918488,33,3887.46966913674
"15","Bexley","E09000004",6428.649,370.619,"F",NA,NA,82697.5590039539,28,4546.51574985879
"16","Enfield","E09000010",8220.025,0,"F",NA,NA,117393.954803726,36,4239.05681100761
"17","Waltham Forest","E09000031",3880.793,0,"F",NA,NA,106991.818562235,28,3678.86362277731
"18","Redbridge","E09000026",5644.225,2.3,"F",NA,NA,107536.872652443,31,4031.06862411474
"19","Sutton","E09000029",4384.698,0,"F",NA,NA,69666.5157550498,24,4597.22851020626
"20","Richmond upon Thames","E09000027",5876.111,135.443,"F",NA,NA,72864.6418252477,23,4331.97209455445
"21","Merton","E09000024",3762.466,0,"F",NA,NA,84752.0813509004,25,4109.91674596398
"22","Wandsworth","E09000032",3522.022,95.6,"T",NA,NA,152037.722499772,37,3390.87236487104
"23","Hammersmith and Fulham","E09000013",1715.409,75.648,"T",NA,NA,110944.710644505,25,3062.21157421982
"24","Kensington and Chelsea","E09000020",1238.379,25.994,"T",NA,NA,91195.5513654275,21,3157.3546968844
"25","Westminster","E09000033",2203.005,54.308,"T",NA,NA,105755.089545832,24,3093.53793559033
"26","Camden","E09000007",2178.932,0,"T",NA,NA,126507.557348234,28,2981.87295184877
"27","Tower Hamlets","E09000030",2157.501,179.707,"T",NA,NA,147912.68556788,32,2877.72857600376
"28","Islington","E09000019",1485.664,0,"T",NA,NA,108508.469916682,23,2782.24043840514
"29","Hackney","E09000012",1904.902,0,"T",NA,NA,129598.504431854,28,2871.48198457665
"30","Haringey","E09000014",2959.837,0,"T",NA,NA,152882.461162165,36,3253.26496771765
"31","Newham","E09000025",3857.806,237.637,"T",NA,NA,156226.875486777,37,3277.65201387089
"32","Barking and Dagenham","E09000002",3779.934,169.15,"F",NA,NA,70850.8920537769,22,4279.5049066465
"33","City of London","E09000001",314.942,24.546,"T",NA,NA,4526.95887413954,1,2973.04112586046
